"Order Type","Number","Sub Total","Discounts","Net","Shipping","Tax","Gross","%"
"Website (bltdirect.com)","12","129.14","0.00","129.14","47.40","35.34","211.88","22"
"Telesales","3","109.08","0.00","109.08","7.90","23.39","96.74","5"
"Website (lightbulbsuk.co.uk)","40","880.32","0.00","880.32","149.13","200.32","1,229.77","73"
